t,x,y,source_x,source_y,source_x_cartesian,source_y_cartesian,source_diameter,Q_total,wind_u,wind_v,D,phi,wind_quality
2019-01-02 23:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.7045446413732294,-0.5504506015372337,1.0,,1.0
2019-01-03 00:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-1.2195221646611412,-1.3077774105641768,1.0096437116106594,,1.0
2019-01-03 01:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,0.3105107195542685,-1.760993798604535,1.0096437116106594,,1.0
2019-01-03 02:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.4647241964051971,-2.186355447011067,2.5241092453722462,,1.0
2019-01-03 03:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-2.958792453662044,-1.0187939437889235,7.067506317818638,,1.0
2019-01-03 04:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-1.428088046866969,-1.0761415316199934,1.0096437116106594,,1.0
2019-01-03 05:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-2.6806060611658906,0.0936088263601567,3.0289312021407833,,1.0
2019-01-03 06:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-3.008057086698584,0.8625464897099021,52.093424140144315,,1.0
2019-01-03 07:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-2.6822400093078613,-4.92719496291576e-16,44.65150527184461,,1.0
2019-01-03 08:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-2.2338383048804618,-0.0780073525265666,50.29947758263814,,1.0
2019-01-03 09:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-3.060897812382343,-0.6506139146232847,52.093424140144315,,1.0
2019-01-03 10:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-1.5788515380403365,0.8394902539692781,100.58498830916288,,1.0
2019-01-03 11:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-2.0867389023536034,0.801024015122829,90.6610003387276,,1.0
2019-01-03 12:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,0.5982562813149561,-0.6644309131035633,50.29249415458143,,1.0
2019-01-03 13:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,0.0311839334378192,-0.4459510246657747,25.146247077290717,,1.0
2019-01-03 14:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,0.0078019236274229,-0.4469719052611926,25.146247077290717,,1.0
2019-01-03 15:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,1.2680538765081335,-0.436625964820754,41.27949946261368,,1.0
2019-01-03 16:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,1.737076597314582,-1.406656892942061,50.29947758263814,,1.0
2019-01-03 17:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,2.274668533328126,-1.4213706522292875,44.65150527184461,,1.0
2019-01-03 18:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,1.6693911441411746,-0.6408192206424207,29.7676695197336,,1.0
2019-01-03 19:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,1.1495642143068143,-0.6907278654203232,1.0,,1.0
2019-01-03 20:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,0.4325950487235719,-1.7350439733625167,1.0096437116106594,,1.0
2019-01-03 21:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,0.684905002860625,-0.5747035352918252,1.0,,1.0
2019-01-03 22:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,2.1134230523704907,-0.7277099154940911,2.5241092453722462,,1.0
2019-01-03 23:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,1.252043385928746,-0.4806144261620126,1.0,,1.0
2019-01-04 00:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,1.0710660589514194,-0.8071061666504808,1.0,,1.0
2019-01-04 01:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,0.948315049675728,-0.9483150496757292,1.0,,1.0
2019-01-04 02:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,0.7882905602899937,-1.0849888752612382,1.0,,1.0
2019-01-04 03:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,0.8935353338658518,-0.0312029414266614,1.0,,1.0
2019-01-04 07:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,0.4251602970720715,0.1381429545749498,7.4419173799334,,1.0
2019-01-04 09:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,0.3373853644162106,0.2932846228203066,13.75983284843402,,1.0
2019-01-04 12:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,0.3570220117167422,0.2690353829049984,25.146247077290717,,1.0
2019-01-04 15:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,1.260240571961662,-0.4586900562086579,41.27949946261368,,1.0
2019-01-04 16:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,2.11363397108879,-1.6513518413079835,60.35937524525208,,1.0
2019-01-04 17:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,1.580525026597082,-1.5805250265970838,37.2095864035449,,1.0
2019-01-04 18:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,2.0547150542416817,-1.7241106441886025,44.651505271844606,,1.0
2019-01-04 19:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,1.34112000465393,-2.3228879871076176,3.0289312021407833,,1.0
2019-01-04 20:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,1.3451768965895083,-1.785110034782517,2.5241092453722462,,1.0
2019-01-04 21:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,2.737330437627016e-16,-2.2351999282836914,2.5241092453722462,,1.0
2019-01-04 22:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,0.5380707658099975,-0.7140440234334839,1.0,,1.0
2019-01-04 23:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,0.4173477860352936,-0.1602048051606051,1.0,,1.0
2019-01-05 16:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00044,-0.0389621025073042,0.4453388694840358,13.759832848434026,,1.0
2019-01-05 17:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00044,0.0311839334378193,0.4459510246657747,7.441917379933401,,1.0
2019-01-05 18:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,-0.4197451269846394,0.7894257690201681,14.883834759866804,,1.0
2019-01-05 19:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,0.2614036888567189,0.8550129401784131,1.0,,1.0
2019-01-05 20:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,0.1307018444283593,-0.4275064700892065,1.0,,1.0
2019-01-05 21:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,0.4445910597685575,0.0467284033429308,1.0,,1.0
2019-01-05 22:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,-1.07106605895142,0.80710616665048,1.0,,1.0
2019-01-05 23:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,-0.4264962527815358,2.194133010043541,2.5241092453722476,,1.0
2019-01-06 00:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,-0.2011242348963249,0.8711647711872896,1.0,,1.0
2019-01-06 01:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,-0.0779242050146085,0.8906777389680716,1.0,,1.0
2019-01-06 02:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,-0.2499815908799618,0.370612949485352,1.0,,1.0
2019-01-06 10:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00044,-0.0699324619402265,0.4415361875000592,25.146247077290717,,1.0
2019-01-06 15:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00044,-0.8973844419140793,0.9966463918027876,41.27949946261368,,1.0
2019-01-06 16:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00044,-0.0936088263601554,2.6806060611658906,60.35937524525208,,1.0
2019-01-06 17:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00044,-1.4691080144029522,2.762990323140033,52.09342414014433,,1.0
2019-01-06 18:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,-0.1871036047847271,2.6757062074540987,44.65150527184461,,1.0
2019-01-06 19:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,0.0935518023923629,1.3378531037270496,1.0,,1.0
2019-01-06 20:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,0.5028105805367474,2.1779118989297337,2.5241092453722462,,1.0
2019-01-06 21:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,-0.1948105099390777,2.2266943177312633,2.5241092453722462,,1.0
2019-01-06 22:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,-0.1403775957602109,2.6785640925952134,3.0289312021407833,,1.0
2019-01-06 23:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.0003,-0.1948105099390777,2.2266943177312633,2.5241092453722462,,1.0
2019-01-07 00:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.3919388675716257,0.8035937658463426,1.0,,1.0
2019-01-07 01:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.2314049275060065,0.8636149465742095,1.0,,1.0
2019-01-07 02:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.3244462937525143,1.301283008938953,1.0,,1.0
2019-01-07 03:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.4197451269846394,0.7894257690201681,1.0,,1.0
2019-01-07 04:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.1746724404044251,0.4115024819709733,1.0,,1.0
2019-01-07 05:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.629617704468302,1.1841386798441411,1.0,,1.0
2019-01-07 06:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-0.3204096103212108,0.8346955720705871,14.8838347598668,,1.0
2019-01-07 07:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-0.0311839334378195,0.4459510246657746,7.441917379933399,,1.0
