rank,timestamp,met_timestamp,edf_max_ppb,edf_mean_ppb,pinn_max_ppb,pinn_mean_ppb,ratio_max,ratio_mean,num_facilities,edf_482010026,pinn_482010026,ratio_482010026,edf_482010057,pinn_482010057,ratio_482010057,edf_482010069,pinn_482010069,ratio_482010069,edf_482010617,pinn_482010617,ratio_482010617,edf_482010803,pinn_482010803,ratio_482010803,edf_482011015,pinn_482011015,ratio_482011015,edf_482011035,pinn_482011035,ratio_482011035,edf_482011039,pinn_482011039,ratio_482011039,edf_482016000,pinn_482016000,ratio_482016000
1,2019-03-30 09:00:00,2019-03-30 06:00:00,196.935683,21.993470222222225,0.6292826310408484,0.3362132175226255,312.9521781366921,65.41505110723695,20,0.302517,0.5675347223979216,0.5330369897401503,0.103083,0.19620510114755,0.5253838936760344,0.052283,0.2155120106210231,0.24259900805222137,0.077483,0.6292826310408484,0.12312909363451091,0.082233,0.31168710376978426,0.26383189745552726,196.935683,0.45569128647150825,432.1690777212464,0.1196,0.17786833692891107,0.6724074788409402,0.076617,0.22131867635036082,0.3461840693404052,0.191733,0.25081908897572225,0.7644274635674104
2,2019-03-21 04:00:00,2019-03-21 01:00:00,190.682717,21.633622222222225,1.3675793163284031,0.7355267366509576,139.43072646141428,29.412381266171604,20,0.704217,0.9564278662703077,0.7362991238912445,0.224333,0.30299080319207866,0.7403954101464454,0.259383,0.5565311212014462,0.46607097091001987,0.210917,1.3675793163284031,0.15422652089113018,0.352433,0.45998165303324345,0.766189254888671,1.415433,0.871986470416215,1.6232281669741826,0.383217,0.2582127502648905,1.4841133894700105,190.682717,0.590064433466248,323.15575416037535,0.46995,1.2559662156857854,0.3741740774001607
3,2019-03-25 02:00:00,2019-03-24 23:00:00,176.142983,19.675257444444444,1.6859895120720791,0.9643551515611785,104.47448057315613,20.402480362252607,20,0.475817,1.6859895120720791,0.2822182442969182,0.074317,0.5504211710489837,0.13501842572364697,0.04605,0.8477177958563847,0.054322323095127655,0.0,1.1725637928644812,0.0,0.0,0.9147027971321499,0.0,176.142983,1.023714041219929,172.06268147899556,0.0,0.5043800323047777,0.0,0.089167,0.553454117288906,0.16111001294341143,0.248983,1.4262531042629136,0.1745713991828079
4,2019-03-20 21:00:00,2019-03-20 18:00:00,165.166933,18.57592766666667,0.5488873715548661,0.29496045980782876,300.91170000946204,62.9774740020921,20,0.297033,0.4467206607794646,0.6649188767802215,0.1653,0.17345837952203963,0.952966356860246,0.0,0.2206650264832046,0.0,0.175883,0.5488873715548661,0.32043550118809566,0.6577,0.24747974853273005,2.6575911924082822,165.166933,0.3706251551389995,445.64415207612035,0.217967,0.1566328129090163,1.3915794267616903,0.20645,0.20032123564666385,1.0305946812555926,0.296083,0.2898537477034743,1.02149101864606
5,2019-03-19 20:00:00,2019-03-19 17:00:00,132.844,16.006744444444443,0.21096774561471132,0.16406074093685466,629.6856892850411,97.56536992134713,20,132.844,0.21096774561471132,629.6886740336691,10.083767,0.13387526445157236,75.32210704724824,0.176,0.20586232625584283,0.8549403050136996,0.1145,0.18116858371185965,0.6320080317131972,0.2179,0.1333749865430011,1.6337396212575994,0.0,0.15775039142237662,0.0,0.168333,0.15867591438526213,1.0608604377806872,0.159233,0.08606213475554975,1.8502097403496236,0.296967,0.20880932129151608,1.4221922573341832
6,2019-03-29 02:00:00,2019-03-28 23:00:00,129.982067,15.2802,0.5592516451202311,0.35871050490982553,232.42101424849903,42.59746283811334,20,129.982067,0.3685480609766689,352.68688337564896,7.207683,0.310940760282713,23.180244987651808,0.0,0.5592516451202311,0.0,0.0,0.39752633005606947,0.0,0.0,0.22079827774333632,0.0,0.0,0.2812612902721829,0.0,0.0,0.3878439989675566,0.0,0.11805,0.17130100247112143,0.6891378234631249,0.214,0.5309231782985502,0.40307149649372237
7,2019-03-29 22:00:00,2019-03-29 19:00:00,129.832233,14.714149999999998,0.5489411529241357,0.402984600624065,236.51350567341643,36.512843082267985,20,129.832233,0.5489411529241357,236.51393652744224,1.652683,0.3155091318090142,5.23814632725246,0.076633,0.5006752609977385,0.15305929006215896,0.03835,0.4485059597331953,0.08550611015919038,0.206217,0.3374578726972274,0.6110896105393908,0.0,0.38760297588736137,0.0,0.3078,0.37915676436190265,0.8118014207606407,0.112417,0.20422917243202157,0.5504453583261638,0.201017,0.5047831147739887,0.398224493087498
8,2019-04-14 23:00:00,2019-04-14 20:00:00,98.166567,11.756898333333332,0.23504956843473487,0.10214835349172452,417.64020250500835,115.09518104082568,20,0.522967,0.14409860867091334,3.6292300447836463,3.59315,0.04289464758991742,83.76686141243846,0.504067,0.049818073478528554,10.118155215641798,0.439817,0.23504956843473487,1.8711670177863864,0.74645,0.07236345663018906,10.315289439733467,98.166567,0.14981748550119536,655.2410532829077,0.770983,0.03709835467637491,20.78213459129442,0.289017,0.09105694845054228,3.174024661687186,0.779067,0.09713803799312495,8.020205226454536
9,2019-03-20 19:00:00,2019-03-20 16:00:00,84.8047,9.682457444444445,0.6036353838517293,0.3396689804056469,140.48970915051817,28.505484743989694,20,0.960483,0.42194626128276463,2.2763159390961833,0.155783,0.16474424783647143,0.9456050942345098,0.16505,0.3423721218602328,0.48207780208044704,0.188517,0.6036353838517293,0.3123027659463802,0.200267,0.2050200766439001,0.9768165307432026,84.8047,0.41242912036278007,205.62248350796438,0.1812,0.16600157509272578,1.0915559078206616,0.215417,0.20112841508874055,1.0710420996702785,0.2707,0.5397436216314775,0.5015344121747245
10,2019-03-23 05:00:00,2019-03-23 02:00:00,70.0527,8.363992444444445,0.8107635374513944,0.35320057199357763,86.40326107529053,23.6805074146061,20,70.0527,0.587274568118141,119.28440937682086,1.042083,0.16381911004313407,6.361180937471925,0.170783,0.17083096084450794,0.9997192496941371,0.2516,0.8107635374513944,0.3103247597824828,2.68685,0.30375725412056154,8.845385463398964,0.28635,0.5025278754799402,0.5698191363544179,0.214183,0.1348697743477534,1.5880726503459726,0.20005,0.2772782241423386,0.7214775001491134,0.371333,0.227683843394427,1.6309150199855118
