process_noise,measurement_noise,decay_rate,pinn_weight,mae,rmse,detection_rate,false_alarm_rate,peak_capture,n_exceedances,n_false_alarms,objective_score
0.1,0.001,0.1,0.1,0.36610323380724663,1.3828177884609154,0.0,0.0010460251046025104,0.0,5,1,55.075312696970656
0.1,0.001,0.1,0.3,0.36350623347688765,1.3818074646270773,0.0,0.0010460251046025104,0.0,5,1,55.07479329690459
0.1,0.001,0.1,0.5,0.3624273753658387,1.3810244328536994,0.0,0.0010460251046025104,0.0,5,1,55.07457752528237
0.1,0.001,0.1,0.7,0.3624070493512811,1.3804690799156814,0.0,0.0010460251046025104,0.0,5,1,55.07457346007946
0.1,0.001,0.1,0.9,0.3634528142653323,1.380141680658986,0.0,0.0010460251046025104,0.0,5,1,55.074782613062276
0.1,0.001,0.3,0.1,0.36318350549743555,1.3811508168243865,0.0,0.0010460251046025104,0.0,5,1,55.0747287513087
0.1,0.001,0.3,0.3,0.3613480442639372,1.380450362110124,0.0,0.0010460251046025104,0.0,5,1,55.07436165906199
0.1,0.001,0.3,0.5,0.360864334675356,1.3798932468649685,0.0,0.0010460251046025104,0.0,5,1,55.074264917144276
0.1,0.001,0.3,0.7,0.3610834073189478,1.3794796447557272,0.0,0.0010460251046025104,0.0,5,1,55.074308731673
0.1,0.001,0.3,0.9,0.36183296629457407,1.3792096848940332,0.0,0.0010460251046025104,0.0,5,1,55.07445864346812
0.1,0.001,0.5,0.1,0.36243839598576105,1.380164106051236,0.0,0.0010460251046025104,0.0,5,1,55.07457972940636
0.1,0.001,0.5,0.3,0.36138834647190377,1.3797280245681705,0.0,0.0010460251046025104,0.0,5,1,55.074369719503586
0.1,0.001,0.5,0.5,0.36098794194373074,1.3793697037984234,0.0,0.0010460251046025104,0.0,5,1,55.07428963859795
0.1,0.001,0.5,0.7,0.3610833448445416,1.3790892043543448,0.0,0.0010460251046025104,0.0,5,1,55.07430871917811
0.1,0.001,0.5,0.9,0.36148915118018554,1.3788865737282505,0.0,0.0010460251046025104,0.0,5,1,55.074389880445246
0.1,0.001,0.7,0.1,0.36257448845482587,1.379867721153725,0.0,0.0010460251046025104,0.0,5,1,55.07460694790017
0.1,0.001,0.7,0.3,0.3620403181695669,1.3796477716118007,0.0,0.0010460251046025104,0.0,5,1,55.07450011384312
0.1,0.001,0.7,0.5,0.36178905207650064,1.37945833775612,0.0,0.0010460251046025104,0.0,5,1,55.074449860624505
0.1,0.001,0.7,0.7,0.3617299591535392,1.3792994321598135,0.0,0.0010460251046025104,0.0,5,1,55.074438042039915
0.1,0.001,0.7,0.9,0.36185249137511744,1.3791710653751137,0.0,0.0010460251046025104,0.0,5,1,55.07446254848423
0.1,0.001,0.9,0.1,0.363483730059011,1.3802764063761535,0.0,0.0010460251046025104,0.0,5,1,55.07478879622101
0.1,0.001,0.9,0.3,0.3633856976370663,1.3802186385195905,0.0,0.0010460251046025104,0.0,5,1,55.07476918973662
0.1,0.001,0.9,0.5,0.3632879377080107,1.3801646721910439,0.0,0.0010460251046025104,0.0,5,1,55.074749637750806
0.1,0.001,0.9,0.7,0.36319040286071197,1.3801145078364654,0.0,0.0010460251046025104,0.0,5,1,55.07473013078135
0.1,0.001,0.9,0.9,0.3630928680134133,1.38006814587045,0.0,0.0010460251046025104,0.0,5,1,55.07471062381189
0.1,0.01,0.1,0.1,0.35763951742199784,1.3703882235938885,0.0,0.0010460251046025104,0.0,5,1,55.07361995369361
0.1,0.01,0.1,0.3,0.35548955066585397,1.3692001912656135,0.0,0.0010460251046025104,0.0,5,1,55.073189960342376
0.1,0.01,0.1,0.5,0.3552842508960553,1.3682783145999475,0.0,0.0010460251046025104,0.0,5,1,55.07314890038842
0.1,0.01,0.1,0.7,0.3565282038314052,1.3676231318213556,0.0,0.0010460251046025104,0.0,5,1,55.07339769097549
0.1,0.01,0.1,0.9,0.35909402568133514,1.3672350263312203,0.0,0.0010460251046025104,0.0,5,1,55.073910855345474
0.1,0.01,0.3,0.1,0.3550644779385211,1.368693078077551,0.0,0.0010460251046025104,0.0,5,1,55.07310494579691
0.1,0.01,0.3,0.3,0.3535471073298959,1.367843687963717,0.0,0.0010460251046025104,0.0,5,1,55.072801471675184
0.1,0.01,0.3,0.5,0.3536978128859174,1.367166327673761,0.0,0.0010460251046025104,0.0,5,1,55.07283161278639
0.1,0.01,0.3,0.7,0.3548401386580844,1.366661252997877,0.0,0.0010460251046025104,0.0,5,1,55.07306007794082
