timestamp,max_concentration_edf,mean_concentration_edf,total_exposure_edf,peak_sensor_id,sensor_482010026,sensor_482010057,sensor_482010069,sensor_482010617,sensor_482010803,sensor_482011015,sensor_482011035,sensor_482011039,sensor_482016000,hazard_rank
2019-03-16 08:00:00,0.345933,,,sensor_482016000,0.1613,0.0777,0.230317,0.111233,0.1913,0.257117,0.190483,,0.345933,2471
2019-03-09 19:00:00,0.345667,0.16845199999999996,1.5160679999999997,sensor_482010057,0.1797,0.345667,0.080283,0.1274,0.120717,0.107717,0.141517,0.16885,0.244217,2472
2019-04-09 14:00:00,0.3454,,,sensor_482010026,,0.0584,0.060033,0.061067,0.1392,0.3454,0.099267,0.155667,0.178867,2473
2019-02-24 12:00:00,0.3454,0.168176,1.513584,sensor_482011015,0.138333,0.05245,0.134217,0.090133,0.107867,0.3454,0.152717,0.324217,0.16825,2474
2019-01-16 15:00:00,0.345367,,,sensor_482010057,0.232017,0.375383,0.1408,0.10115,0.203217,,0.345367,0.140417,0.133967,2475
2019-07-17 14:00:00,0.344933,0.10751655555555556,0.967649,sensor_482010057,0.145733,0.344933,0.013067,0.055583,0.143517,0.076133,0.13515,0.0,0.053533,2476
2019-12-29 23:00:00,0.344767,,,sensor_482011039,0.14345,0.157533,,0.070133,0.211483,,,0.344767,0.103833,2477
2019-02-12 23:00:00,0.3446,,,sensor_482010803,0.174983,0.173867,,0.131183,0.3446,0.102783,0.337617,0.235717,0.256233,2478
2019-12-08 23:00:00,0.344267,,,sensor_482010026,,0.41,,0.166,,0.103533,0.242117,0.344267,0.225633,2479
2019-01-18 09:00:00,0.343967,,,sensor_482010057,0.6332,2.526933,0.296467,0.169733,0.424,,0.674417,,0.343967,2480
2019-04-18 21:00:00,0.343867,0.18341666666666667,1.65075,sensor_482011039,0.136133,0.115983,0.132767,0.095367,0.175033,0.33375,0.158467,0.343867,0.159383,2481
2019-03-16 07:00:00,0.343817,,,sensor_482016000,0.184517,0.116633,0.239383,0.127,0.195717,0.183683,0.175167,,0.343817,2482
2019-02-18 07:00:00,0.343633,,,sensor_482010026,0.475083,0.106783,0.276233,0.179583,0.24635,0.13965,,,0.343633,2483
2019-07-24 22:00:00,0.343567,,,sensor_482010026,1.541317,0.117567,0.43355,0.145783,,0.0651,0.24775,0.09225,0.343567,2484
2019-08-17 20:00:00,0.343567,0.09471122222222222,0.852401,sensor_482010057,0.061617,0.343567,0.0,0.0,0.067133,0.0,0.282817,0.0,0.097267,2485
2019-02-21 23:00:00,0.34345,,,sensor_482016000,0.317067,0.081517,0.321183,0.124233,0.217367,0.29245,0.204383,,0.34345,2486
2019-02-12 22:00:00,0.343017,,,sensor_482010803,0.299467,0.167167,,0.153633,0.343017,0.149083,0.2418,0.21565,0.236383,2487
2019-04-10 07:00:00,0.342917,0.21964655555555557,1.976819,sensor_482010617,0.148767,0.328,0.141367,0.342917,0.198017,0.170117,0.210867,0.114867,0.3219,2488
