timestamp,max_edf,wind_speed_mean,wind_speed_min,wind_speed_max,wind_dir_mean,diffusion_mean,diffusion_min,diffusion_max,emission_mean,emission_min,emission_max
2019-03-30 09:00:00,196.935683,1.7620157033355106,0.4470399916172028,2.682240009307861,121.68580552302508,27.246234509012464,1.664709538180616,44.651505271844606,0.00047200000000000003,0.00012,0.0012
2019-03-21 04:00:00,190.682717,2.0767263089748775,1.3411200046539307,2.6822400093078618,70.82357333569442,1.6144655876086307,1.0,3.0289312021407833,0.000682,0.00016,0.0016
2019-03-20 21:00:00,165.166933,1.6589914584387788,1.3411200046539309,5.016309309461611,152.2027682688744,23.525275546178605,1.664709538180616,29.7676695197336,0.000682,0.00016,0.0016
2019-03-29 22:00:00,129.832233,4.947669642956177,3.576319932937622,6.2585601806640625,143.28957813603387,10.752223464228837,1.0,14.135012635637276,0.000682,0.00016,0.0016
2019-04-14 23:00:00,98.166567,4.460589411956207,2.6822400093078613,6.705599784851074,305.58243926435136,9.591133017508248,1.0,15.14465547223348,0.00032199999999999997,8e-05,0.0008
2019-03-20 19:00:00,84.8047,0.8478857039015404,0.44703999161720276,2.652434167466384,112.01797459984724,22.169632182930126,3.077987004844183,41.279499462613686,0.001095,0.00024,0.003
2019-03-23 05:00:00,70.0527,1.5533783692969438,0.6688477771551538,2.2351999282836914,110.7196917213555,1.4572327736116737,1.0,2.5241092453722462,0.00032199999999999997,8e-05,0.0008
2019-03-29 21:00:00,53.73045,4.4922301022103905,1.7777237254211893,5.3644800186157235,138.2966079280523,50.229935923909096,1.664709538180616,74.4191728070898,0.000682,0.00016,0.0016
2019-04-04 10:00:00,48.75825,3.3279858935726665,2.18595812490181,4.023359775543213,164.35129409168584,53.66504140622489,1.664709538180616,66.97725393879008,0.001095,0.00024,0.003
2019-03-21 05:00:00,48.03445,1.6378826972500828,0.8940799832344055,2.358934336217937,48.13151386501191,1.4572327736116737,1.0,2.5241092453722462,0.000682,0.00016,0.0016
