timestamp,sensor_id,pipeline_phi,benchmark_phi,pipeline_ppb,benchmark_ppb,phi_diff,ppb_diff,phi_ratio,ppb_ratio
2019-01-01 00:00:00,sensor_482010026,0.0,2.6129329463975127e-09,0.0,0.8183968325757913,-2.6129329463975127e-09,-0.8183968325757913,0.0,0.0
2019-01-01 00:00:00,sensor_482010057,0.0,-1.5720765744519283e-20,0.0,-4.923901667174e-12,1.5720765744519283e-20,4.923901667174e-12,-0.0,-0.0
2019-01-01 00:00:00,sensor_482010069,0.0,3.536455380304038e-25,0.0,1.1076533310113247e-16,-3.536455380304038e-25,-1.1076533310113247e-16,0.0,0.0
2019-01-01 00:00:00,sensor_482010617,0.0,1.4805543216840906e-15,0.0,4.637244782699918e-07,-1.4805543216840906e-15,-4.637244782699918e-07,0.0,0.0
2019-01-01 00:00:00,sensor_482010803,0.0,5.745031468790953e-08,0.0,17.994015359594602,-5.745031468790953e-08,-17.994015359594602,0.0,0.0
2019-01-01 00:00:00,sensor_482011015,0.0,-1.5582542026401792e-10,0.0,-0.0488060861089784,1.5582542026401792e-10,0.0488060861089784,-0.0,-0.0
2019-01-01 00:00:00,sensor_482011035,0.0,-1.807870649425789e-23,0.0,-5.662432383642635e-15,1.807870649425789e-23,5.662432383642635e-15,-0.0,-0.0
2019-01-01 00:00:00,sensor_482011039,0.0,1.2018698203117362e-07,0.0,37.643769445659615,-1.2018698203117362e-07,-37.643769445659615,0.0,0.0
2019-01-01 00:00:00,sensor_482016000,0.0,5.9802391428897325e-25,0.0,1.8730709409648022e-16,-5.9802391428897325e-25,-1.8730709409648022e-16,0.0,0.0
2019-01-01 01:00:00,sensor_482010026,0.0,-4.580387236796247e-09,0.0,-1.4346232695074868,4.580387236796247e-09,1.4346232695074868,-0.0,-0.0
2019-01-01 01:00:00,sensor_482010057,0.0,-1.8760212332879093e-08,0.0,-5.87588685459585,1.8760212332879093e-08,5.87588685459585,-0.0,-0.0
2019-01-01 01:00:00,sensor_482010069,0.0,2.162444148098021e-07,0.0,67.72992180551122,-2.162444148098021e-07,-67.72992180551122,0.0,0.0
2019-01-01 01:00:00,sensor_482010617,0.0,7.59608493647712e-16,0.0,2.379170066557003e-07,-7.59608493647712e-16,-2.379170066557003e-07,0.0,0.0
2019-01-01 01:00:00,sensor_482010803,0.0,-5.9353582511735674e-12,0.0,-0.0018590137950765,5.9353582511735674e-12,0.0018590137950765,-0.0,-0.0
2019-01-01 01:00:00,sensor_482011015,0.0,9.723342400232216e-08,0.0,30.454484618027134,-9.723342400232216e-08,-30.454484618027134,0.0,0.0
2019-01-01 01:00:00,sensor_482011035,0.0,1.425103528418047e-07,0.0,44.63567330948574,-1.425103528418047e-07,-44.63567330948574,0.0,0.0
2019-01-01 01:00:00,sensor_482011039,0.0,5.991460787778657e-07,0.0,187.6585672808973,-5.991460787778657e-07,-187.6585672808973,0.0,0.0
2019-01-01 01:00:00,sensor_482016000,0.0,7.528136187426186e-07,0.0,235.78878361509604,-7.528136187426186e-07,-235.78878361509604,0.0,0.0
2019-01-01 02:00:00,sensor_482010026,0.0,5.732103275327852e-23,0.0,1.795352295968163e-14,-5.732103275327852e-23,-1.795352295968163e-14,0.0,0.0
2019-01-01 02:00:00,sensor_482010057,0.0,-2.1529711756321424e-26,0.0,-6.743321879704553e-18,2.1529711756321424e-26,6.743321879704553e-18,-0.0,-0.0
2019-01-01 02:00:00,sensor_482010069,0.0,-5.773936157401072e-28,0.0,-1.8084547746343086e-19,5.773936157401072e-28,1.8084547746343086e-19,-0.0,-0.0
2019-01-01 02:00:00,sensor_482010617,0.0,1.2351773214797748e-14,0.0,3.8686993822868346e-06,-1.2351773214797748e-14,-3.8686993822868346e-06,0.0,0.0
2019-01-01 02:00:00,sensor_482010803,0.0,7.411582928212907e-24,0.0,2.321382185174328e-15,-7.411582928212907e-24,-2.321382185174328e-15,0.0,0.0
2019-01-01 02:00:00,sensor_482011015,0.0,-2.6456699288727523e-15,0.0,-8.286503841653044e-07,2.6456699288727523e-15,8.286503841653044e-07,-0.0,-0.0
2019-01-01 02:00:00,sensor_482011035,0.0,-3.360917905303558e-28,0.0,-1.0526732314504808e-19,3.360917905303558e-28,1.0526732314504808e-19,-0.0,-0.0
2019-01-01 02:00:00,sensor_482011039,0.0,-3.6229170253870156e-11,0.0,-0.0113473398632349,3.6229170253870156e-11,0.0113473398632349,-0.0,-0.0
2019-01-01 02:00:00,sensor_482016000,0.0,7.049432558749597e-26,0.0,2.2079530534801707e-17,-7.049432558749597e-26,-2.2079530534801707e-17,0.0,0.0
2019-01-01 03:00:00,sensor_482010026,0.0,2.0939106991755672e-14,0.0,6.558338537789414e-06,-2.0939106991755672e-14,-6.558338537789414e-06,0.0,0.0
2019-01-01 03:00:00,sensor_482010057,0.0,3.387238480689834e-09,0.0,1.0609170999192064,-3.387238480689834e-09,-1.0609170999192064,0.0,0.0
2019-01-01 03:00:00,sensor_482010069,0.0,-4.425667889699987e-16,0.0,-1.3861636166195896e-07,4.425667889699987e-16,1.3861636166195896e-07,-0.0,-0.0
2019-01-01 03:00:00,sensor_482010617,0.0,-1.344256504967108e-23,0.0,-4.210346336484665e-15,1.344256504967108e-23,4.210346336484665e-15,-0.0,-0.0
2019-01-01 03:00:00,sensor_482010803,0.0,7.107095795806252e-10,0.0,0.222601375826339,-7.107095795806252e-10,-0.222601375826339,0.0,0.0
