forecast_timestamp,current_timestamp,x,y,pinn_concentration
2026-02-01 03:00:00,2026-02-01,0.0,0.0,167.0684583489771
2026-02-01 03:00:00,2026-02-01,1034.4827586206898,0.0,176.78395777564737
2026-02-01 03:00:00,2026-02-01,2068.9655172413795,0.0,186.48691270859092
2026-02-01 03:00:00,2026-02-01,3103.4482758620693,0.0,196.17108165984172
2026-02-01 03:00:00,2026-02-01,4137.931034482759,0.0,205.85861122692353
2026-02-01 03:00:00,2026-02-01,5172.413793103449,0.0,215.60764224485496
2026-02-01 03:00:00,2026-02-01,6206.896551724139,0.0,225.5215464063065
2026-02-01 03:00:00,2026-02-01,7241.379310344828,0.0,235.74834038668482
2026-02-01 03:00:00,2026-02-01,8275.862068965518,0.0,246.48695902836442
2026-02-01 03:00:00,2026-02-01,9310.344827586208,0.0,257.98180000133215
2026-02-01 03:00:00,2026-02-01,10344.827586206899,0.0,270.5223957122951
2026-02-01 03:00:00,2026-02-01,11379.310344827587,0.0,284.42704758832747
2026-02-01 03:00:00,2026-02-01,12413.793103448277,0.0,300.0341781752614
2026-02-01 03:00:00,2026-02-01,13448.275862068967,0.0,317.68139482217737
2026-02-01 03:00:00,2026-02-01,14482.758620689656,0.0,337.6835610550783
2026-02-01 03:00:00,2026-02-01,15517.241379310346,0.0,360.3159946413897
2026-02-01 03:00:00,2026-02-01,16551.724137931036,0.0,385.80743650560237
2026-02-01 03:00:00,2026-02-01,17586.206896551725,0.0,414.3259463388919
2026-02-01 03:00:00,2026-02-01,18620.689655172417,0.0,445.9820064115676
2026-02-01 03:00:00,2026-02-01,19655.172413793105,0.0,480.8300191277132
2026-02-01 03:00:00,2026-02-01,20689.655172413797,0.0,518.8726368545734
2026-02-01 03:00:00,2026-02-01,21724.137931034486,0.0,560.0784798992092
2026-02-01 03:00:00,2026-02-01,22758.620689655174,0.0,604.4043762179892
2026-02-01 03:00:00,2026-02-01,23793.103448275866,0.0,651.8292127795454
2026-02-01 03:00:00,2026-02-01,24827.586206896554,0.0,702.4134816278054
2026-02-01 03:00:00,2026-02-01,25862.068965517243,0.0,756.3657399466686
2026-02-01 03:00:00,2026-02-01,26896.551724137935,0.0,814.1151625084284
2026-02-01 03:00:00,2026-02-01,27931.034482758623,0.0,876.3999888963074
2026-02-01 03:00:00,2026-02-01,28965.51724137931,0.0,944.3135431403072
2026-02-01 03:00:00,2026-02-01,30000.0,0.0,1019.3013988138632
2026-02-01 03:00:00,2026-02-01,0.0,1034.4827586206898,158.72686542977144
2026-02-01 03:00:00,2026-02-01,1034.4827586206898,1034.4827586206898,168.2235650389168
2026-02-01 03:00:00,2026-02-01,2068.9655172413795,1034.4827586206898,177.73454814991203
2026-02-01 03:00:00,2026-02-01,3103.4482758620693,1034.4827586206898,187.24646682240868
2026-02-01 03:00:00,2026-02-01,4137.931034482759,1034.4827586206898,196.7714779504832
2026-02-01 03:00:00,2026-02-01,5172.413793103449,1034.4827586206898,206.35538107713427
2026-02-01 03:00:00,2026-02-01,6206.896551724139,1034.4827586206898,216.08523998938273
2026-02-01 03:00:00,2026-02-01,7241.379310344828,1034.4827586206898,226.09385560602027
2026-02-01 03:00:00,2026-02-01,8275.862068965518,1034.4827586206898,236.56236375027504
2026-02-01 03:00:00,2026-02-01,9310.344827586208,1034.4827586206898,247.72117245611514
2026-02-01 03:00:00,2026-02-01,10344.827586206899,1034.4827586206898,259.8430123152612
2026-02-01 03:00:00,2026-02-01,11379.310344827587,1034.4827586206898,273.2353754563488
2026-02-01 03:00:00,2026-02-01,12413.793103448277,1034.4827586206898,288.22731012854445
2026-02-01 03:00:00,2026-02-01,13448.275862068967,1034.4827586206898,305.1479569445421
2026-02-01 03:00:00,2026-02-01,14482.758620689656,1034.4827586206898,324.31100765619556
2026-02-01 03:00:00,2026-02-01,15517.241379310346,1034.4827586206898,345.98977141026216
2026-02-01 03:00:00,2026-02-01,16551.724137931036,1034.4827586206898,370.4131486866895
2026-02-01 03:00:00,2026-02-01,17586.206896551725,1034.4827586206898,397.7547944991213
2026-02-01 03:00:00,2026-02-01,18620.689655172417,1034.4827586206898,428.1335589062547
2026-02-01 03:00:00,2026-02-01,19655.172413793105,1034.4827586206898,461.61895514155333
2026-02-01 03:00:00,2026-02-01,20689.655172413797,1034.4827586206898,498.2381600987353
2026-02-01 03:00:00,2026-02-01,21724.137931034486,1034.4827586206898,537.9876643973593
2026-02-01 03:00:00,2026-02-01,22758.620689655174,1034.4827586206898,580.855450895552
2026-02-01 03:00:00,2026-02-01,23793.103448275866,1034.4827586206898,626.8484198476109
2026-02-01 03:00:00,2026-02-01,24827.586206896554,1034.4827586206898,676.0350014270389
2026-02-01 03:00:00,2026-02-01,25862.068965517243,1034.4827586206898,728.6136076685218
2026-02-01 03:00:00,2026-02-01,26896.551724137935,1034.4827586206898,784.9799549738652
2026-02-01 03:00:00,2026-02-01,27931.034482758623,1034.4827586206898,845.8168876351019
2026-02-01 03:00:00,2026-02-01,28965.51724137931,1034.4827586206898,912.1534270603347
2026-02-01 03:00:00,2026-02-01,30000.0,1034.4827586206898,985.3999576642393
2026-02-01 03:00:00,2026-02-01,0.0,2068.9655172413795,150.38312294283807
2026-02-01 03:00:00,2026-02-01,1034.4827586206898,2068.9655172413795,159.61753390361872
2026-02-01 03:00:00,2026-02-01,2068.9655172413795,2068.9655172413795,168.88992658737754
2026-02-01 03:00:00,2026-02-01,3103.4482758620693,2068.9655172413795,178.18117323382276
2026-02-01 03:00:00,2026-02-01,4137.931034482759,2068.9655172413795,187.4941150378811
