forecast_timestamp,current_timestamp,x,y,pinn_concentration,nn2_concentration,correction
2026-02-01 03:00:00,2026-02-01,0.0,0.0,167.0684583489771,2.8074101670654272,-164.26104818191166
2026-02-01 03:00:00,2026-02-01,1034.4827586206898,0.0,176.78395777564737,25.165255506937882,-151.61870226870948
2026-02-01 03:00:00,2026-02-01,2068.9655172413795,0.0,186.48691270859092,47.83387810488199,-138.65303460370893
2026-02-01 03:00:00,2026-02-01,3103.4482758620693,0.0,196.17108165984172,70.86662431083721,-125.30445734900451
2026-02-01 03:00:00,2026-02-01,4137.931034482759,0.0,205.85861122692353,94.3467355107007,-111.51187571622283
2026-02-01 03:00:00,2026-02-01,5172.413793103449,0.0,215.60764224485496,118.3911542519506,-97.21648799290436
2026-02-01 03:00:00,2026-02-01,6206.896551724139,0.0,225.5215464063065,143.15423501191165,-82.36731139439485
2026-02-01 03:00:00,2026-02-01,7241.379310344828,0.0,235.74834038668482,168.81967183667717,-66.92866855000764
2026-02-01 03:00:00,2026-02-01,8275.862068965518,0.0,246.48695902836442,195.5972950011561,-50.88966402720831
2026-02-01 03:00:00,2026-02-01,9310.344827586208,0.0,257.98180000133215,223.7064559650331,-34.27534403629906
2026-02-01 03:00:00,2026-02-01,10344.827586206899,0.0,270.5223957122951,253.36360389693658,-17.15879181535854
2026-02-01 03:00:00,2026-02-01,11379.310344827587,0.0,284.42704758832747,284.75409483597497,0.32704724764749926
2026-02-01 03:00:00,2026-02-01,12413.793103448277,0.0,300.0341781752614,318.0135412827512,17.979363107489803
2026-02-01 03:00:00,2026-02-01,13448.275862068967,0.0,317.68139482217737,353.2003742155157,35.51897939333833
2026-02-01 03:00:00,2026-02-01,14482.758620689656,0.0,337.6835610550783,390.27248267623065,52.58892162115234
2026-02-01 03:00:00,2026-02-01,15517.241379310346,0.0,360.3159946413897,429.0753482614017,68.759353620012
2026-02-01 03:00:00,2026-02-01,16551.724137931036,0.0,385.80743650560237,469.34723749100135,83.53980098539898
2026-02-01 03:00:00,2026-02-01,17586.206896551725,0.0,414.3259463388919,510.7249836464538,96.39903730756185
2026-02-01 03:00:00,2026-02-01,18620.689655172417,0.0,445.9820064115676,552.7742141820271,106.79220777045947
2026-02-01 03:00:00,2026-02-01,19655.172413793105,0.0,480.8300191277132,595.02373733769,114.19371820997685
2026-02-01 03:00:00,2026-02-01,20689.655172413797,0.0,518.8726368545734,637.0059292550388,118.1332924004654
2026-02-01 03:00:00,2026-02-01,21724.137931034486,0.0,560.0784798992092,678.3101243792194,118.23164448001012
2026-02-01 03:00:00,2026-02-01,22758.620689655174,0.0,604.4043762179892,718.6360586256765,114.23168240768723
2026-02-01 03:00:00,2026-02-01,23793.103448275866,0.0,651.8292127795454,757.850485444752,106.02127266520665
2026-02-01 03:00:00,2026-02-01,24827.586206896554,0.0,702.4134816278054,796.0579547112096,93.64447308340425
2026-02-01 03:00:00,2026-02-01,25862.068965517243,0.0,756.3657399466686,833.6654322342555,77.29969228758694
2026-02-01 03:00:00,2026-02-01,26896.551724137935,0.0,814.1151625084284,871.4402901780868,57.3251276696584
2026-02-01 03:00:00,2026-02-01,27931.034482758623,0.0,876.3999888963074,910.5735798515112,34.17359095520385
2026-02-01 03:00:00,2026-02-01,28965.51724137931,0.0,944.3135431403072,952.6935791135395,8.380035973232339
2026-02-01 03:00:00,2026-02-01,30000.0,0.0,1019.3013988138632,999.8269803742677,-19.474418439595524
2026-02-01 03:00:00,2026-02-01,0.0,1034.4827586206898,158.72686542977144,0.0,-158.72686542977144
2026-02-01 03:00:00,2026-02-01,1034.4827586206898,1034.4827586206898,168.2235650389168,20.714499613427733,-147.50906542548907
2026-02-01 03:00:00,2026-02-01,2068.9655172413795,1034.4827586206898,177.73454814991203,42.514387926846496,-135.22016022306553
2026-02-01 03:00:00,2026-02-01,3103.4482758620693,1034.4827586206898,187.24646682240868,64.6170955392882,-122.62937128312048
2026-02-01 03:00:00,2026-02-01,4137.931034482759,1034.4827586206898,196.7714779504832,87.09975674033245,-109.67172121015074
2026-02-01 03:00:00,2026-02-01,5172.413793103449,1034.4827586206898,206.35538107713427,110.07489504104181,-96.28048603609246
2026-02-01 03:00:00,2026-02-01,6206.896551724139,1034.4827586206898,216.08523998938273,133.69304771441895,-82.39219227496378
2026-02-01 03:00:00,2026-02-01,7241.379310344828,1034.4827586206898,226.09385560602027,158.139907726793,-67.95394787922726
2026-02-01 03:00:00,2026-02-01,8275.862068965518,1034.4827586206898,236.56236375027504,183.6290164506461,-52.933347299628934
2026-02-01 03:00:00,2026-02-01,9310.344827586208,1034.4827586206898,247.72117245611514,210.39034452073182,-37.330827935383326
2026-02-01 03:00:00,2026-02-01,10344.827586206899,1034.4827586206898,259.8430123152612,238.64920233781206,-21.19380997744915
2026-02-01 03:00:00,2026-02-01,11379.310344827587,1034.4827586206898,273.2353754563488,268.6040740822351,-4.6313013741136615
2026-02-01 03:00:00,2026-02-01,12413.793103448277,1034.4827586206898,288.22731012854445,300.4002548799086,12.172944751364128
2026-02-01 03:00:00,2026-02-01,13448.275862068967,1034.4827586206898,305.1479569445421,334.0989375344836,28.95098058994148
2026-02-01 03:00:00,2026-02-01,14482.758620689656,1034.4827586206898,324.31100765619556,369.658164377464,45.34715672126845
2026-02-01 03:00:00,2026-02-01,15517.241379310346,1034.4827586206898,345.98977141026216,406.9121585045843,60.92238709432212
2026-02-01 03:00:00,2026-02-01,16551.724137931036,1034.4827586206898,370.4131486866895,445.5804539971007,75.16730531041117
